pid,step,x,y,z,speed
0,0,4.1799,1.753,2.645,0.9916
1,0,3.5675,2.0554,2.5999,0.8309
2,0,4.2516,1.8186,2.6453,0.9916
3,0,4.0045,2.4191,2.601,0.8383
4,0,4.1969,1.6613,2.575,0.7759
5,0,3.8414,2.4048,2.6002,0.8352
6,0,4.2745,1.9793,2.6443,1.3037
7,0,4.3695,1.8871,2.5755,1.2899
8,0,3.7674,1.8172,2.6511,0.9695
9,0,4.3505,1.9098,2.5755,1.2899
10,0,4.3832,2.1593,2.5759,1.1998
11,0,4.0636,1.5392,2.5995,0.8282
12,0,4.3455,1.8382,2.5755,1.2899
13,0,3.5108,2.011,2.593,0.3749
14,0,3.7051,1.8203,2.6453,0.8638
15,0,3.7063,2.3973,2.6272,0.5049
16,0,3.6577,1.945,2.6443,0.8348
17,0,4.3753,1.7178,2.6223,0.8028
18,0,3.8192,2.2342,2.67,0.9945
19,0,4.2317,1.7476,2.645,0.9916
20,0,4.3652,2.0284,2.5748,1.3037
21,0,3.6791,1.6677,2.6242,0.7759
22,0,4.4624,2.0247,2.6011,0.8348
23,0,3.9393,2.4083,2.6002,0.8352
24,0,4.3904,1.9593,2.5748,0.8348
25,0,3.5271,2.0021,2.6011,0.8348
26,0,3.8353,1.6451,2.5814,1.1889
27,0,4.4957,1.9701,2.6011,0.8348
28,0,4.2937,1.815,2.6496,0.8028
29,0,3.728,2.4137,2.5989,0.8127
30,0,3.6768,1.8216,2.645,0.9916
31,0,3.5847,2.0936,2.5999,0.8309
32,0,3.9644,1.5519,2.5995,0.8282
33,0,4.1756,2.3418,2.6451,0.8352
34,0,3.8527,1.6752,2.575,1.2747
35,0,3.823,1.7891,2.6511,0.9695
36,0,3.7542,2.132,2.67,0.9981
37,0,3.6069,1.804,2.6006,0.8341
38,0,3.8026,1.6844,2.5814,1.1889
39,0,4.1965,1.705,2.6496,0.7759
40,0,4.4583,1.7783,2.6261,0.5382
41,0,3.5281,2.1243,2.5999,0.8309
42,0,4.4601,2.2159,2.5989,0.8047
43,0,4.2246,1.7138,2.6496,0.7759
44,0,4.0889,1.6125,2.575,1.2747
45,0,4.1266,2.2903,2.6446,0.893
46,0,3.5969,1.8549,2.6006,0.8341
47,0,4.3913,2.307,2.6251,0.7911
48,0,3.849,2.4936,2.5924,0.3562
49,0,4.4959,1.9658,2.6011,0.8348
50,0,3.8946,2.3855,2.6002,0.8352
51,0,3.5779,1.7581,2.6261,0.5382
52,0,4.183,2.4068,2.6002,0.8352
53,0,3.9596,2.2607,2.6446,0.8929
54,0,4.3925,1.8313,2.5755,0.8341
55,0,3.9527,2.4983,2.5924,0.3562
56,0,3.9039,2.286,2.6446,0.8929
57,0,3.5021,1.9694,2.593,0.3749
58,0,3.8265,2.3032,2.6479,0.9945
59,0,4.1616,2.3396,2.6451,0.8352
60,0,4.2846,1.8218,2.6496,0.8028
61,0,4.349,2.0421,2.5748,1.2841
62,0,4.2483,1.5462,2.6262,0.4693
63,0,3.9596,2.2802,2.6446,0.8929
64,0,3.7079,1.6462,2.6242,0.7759
65,0,4.3388,2.2945,2.6251,0.7911
66,0,3.5003,1.9861,2.593,0.3749
67,0,4.2967,1.6233,2.6169,0.558
68,0,4.1847,2.4463,2.6002,0.8352
69,0,4.2556,2.2904,2.6452,1.0152
70,0,4.2445,2.4354,2.6272,0.5049
71,0,3.9515,2.2849,2.6432,0.8929
72,0,4.4814,1.8475,2.6006,0.8341
73,0,3.699,2.1738,2.6492,0.9981
74,0,4.4044,2.2638,2.582,0.4882
75,0,3.5825,1.6812,2.6261,0.5382
76,0,4.1136,1.6431,2.575,1.2747
77,0,3.9643,1.6753,2.5739,1.2928
78,0,4.2992,1.8121,2.5755,1.2899
79,0,4.3406,2.3485,2.6251,0.7911
80,0,3.7203,1.9737,2.6444,0.8311
81,0,3.5459,2.1241,2.5999,0.8309
82,0,4.3647,2.1511,2.5759,1.1998
83,0,3.9176,1.736,2.6484,1.2747
84,0,4.3037,2.2416,2.582,1.1998
85,0,3.7408,1.6464,2.5814,1.1889
86,0,4.3098,1.7451,2.6223,0.8028
87,0,3.9224,1.6542,2.575,1.2747
88,0,4.3749,2.3242,2.6251,0.7911
89,0,4.2234,2.4154,2.6272,0.5049
90,0,4.1492,1.6221,2.575,1.2747
91,0,3.7517,1.7874,2.6511,0.9916
92,0,3.5765,2.1401,2.5999,0.8309
93,0,3.7848,1.698,2.5814,1.1889
94,0,3.7022,2.072,2.6461,0.8919
95,0,3.6862,2.2975,2.6452,1.0152
96,0,3.5377,2.1279,2.5999,0.8309
97,0,3.6962,2.3938,2.6272,0.5049
98,0,3.8531,1.51,2.5984,0.8263
99,0,3.9089,1.7564,2.6486,0.8624
100,0,4.4609,1.9195,2.6006,0.8348
101,0,4.4539,2.1896,2.5989,0.8047
102,0,3.8865,2.2572,2.67,0.8929
103,0,4.3028,2.413,2.6272,0.5049
104,0,3.5425,2.0262,2.6011,0.8348
105,0,4.1975,2.4049,2.6272,0.5049
106,0,4.3364,2.217,2.582,1.1998
107,0,4.3894,2.2967,2.6251,0.7911
108,0,3.747,2.3173,2.6479,1.0152
109,0,4.0996,1.4982,2.5984,0.8263
110,0,3.5782,2.0608,2.5999,0.8309
111,0,4.0805,1.7454,2.6486,0.8624
112,0,4.2634,1.5977,2.6242,0.7759
113,0,3.7308,2.2418,2.6492,1.0152
114,0,3.5458,1.9154,2.6006,0.8341
115,0,3.7232,1.7441,2.645,0.9916
116,0,4.5091,2.0038,2.6011,0.8348
117,0,3.7502,2.4159,2.5989,0.8127
118,0,3.8992,2.4917,2.5924,0.3562
119,0,3.9325,1.682,2.575,1.2747
120,0,3.6948,1.6292,2.6242,0.7759
121,0,4.2563,2.4524,2.6272,0.5049
122,0,4.0388,2.2829,2.6432,0.8438
123,0,3.7442,1.9094,2.6453,0.8638
124,0,4.3109,2.1256,2.5759,1.2841
125,0,4.3033,2.1542,2.5759,1.1998
126,0,4.4852,2.1174,2.5999,0.8309
127,0,3.7308,1.8816,2.6453,0.8638
128,0,4.1705,1.5238,2.5984,0.8263
129,0,3.5507,2.2565,2.5989,0.8047
130,0,3.9603,2.2895,2.6446,0.8929
131,0,3.7898,1.6544,2.5814,1.1889
132,0,3.7509,1.8758,2.67,0.8638
133,0,3.7969,2.2569,2.67,0.9945
134,0,3.8837,2.2969,2.6446,0.8929
135,0,4.4973,1.8476,2.6006,0.8341
136,0,4.2005,2.257,2.6452,1.0152
137,0,4.039,2.3443,2.6432,0.8383
138,0,3.8099,1.6845,2.5814,1.1889
139,0,3.6943,1.9282,2.6453,0.8638
140,0,4.0233,1.6334,2.5739,1.2928
141,0,3.8134,1.6933,2.5814,1.1889
142,0,3.6887,1.7984,2.645,0.9916
143,0,4.2862,1.6142,2.6242,0.7759
144,0,3.8911,2.2474,2.6446,0.8929
145,0,3.9472,2.4521,2.6002,0.8352
146,0,3.5352,1.8847,2.6006,0.8341
147,0,4.1881,2.2616,2.6492,1.0152
148,0,4.5152,2.0277,2.6011,0.8348
149,0,3.6791,2.0783,2.6461,0.8919
150,0,3.5852,1.9391,2.6011,0.8348
151,0,3.7649,1.7576,2.6511,0.9695
152,0,4.0545,1.6754,2.5739,1.2928
153,0,3.8476,1.6855,2.575,1.1889
154,0,3.5837,1.9456,2.6011,0.8348
155,0,3.6761,2.196,2.6492,0.9981
156,0,3.7764,1.72,2.6527,1.1889
157,0,3.9167,1.4913,2.5984,0.8263
158,0,4.0803,1.682,2.5739,1.2747
159,0,4.3674,2.1857,2.582,1.1998
160,0,3.6995,1.8078,2.645,0.9916
161,0,4.1449,2.2785,2.6446,0.893
162,0,4.3057,2.0347,2.5748,1.3037
163,0,3.7462,1.8236,2.645,0.9916
164,0,4.1455,1.7822,2.6486,0.8624
165,0,4.3112,2.4154,2.6272,0.5049
166,0,4.222,2.1501,2.6492,0.9981
167,0,3.6975,2.1824,2.6492,0.9981
168,0,3.7148,1.557,2.6263,0.4693
169,0,4.4408,2.041,2.5999,0.8309
170,0,3.5718,1.7072,2.6261,0.5382
171,0,3.5341,2.2291,2.5989,0.8047
172,0,4.1957,1.6817,2.6242,0.7759
173,0,4.3159,2.2459,2.582,1.1998
174,0,4.2199,1.8583,2.6453,0.8638
175,0,4.0393,1.6975,2.5739,1.2928
176,0,3.6101,2.1947,2.5989,0.8047
177,0,3.6473,2.0615,2.6468,0.8309
178,0,3.698,2.1379,2.6492,0.9981
179,0,3.9448,1.546,2.5984,0.8263
180,0,4.3548,1.7973,2.5755,0.8028
181,0,3.9817,2.3499,2.6432,0.8383
182,0,3.8445,2.2942,2.6479,0.9945
183,0,3.8263,2.3071,2.6479,0.9945
184,0,4.1036,1.6532,2.575,1.2747
185,0,3.5854,1.7278,2.6261,0.5382
186,0,3.8242,1.6232,2.5814,1.1889
187,0,3.5152,2.1223,2.5999,0.8309
188,0,4.0283,2.4031,2.601,0.8383
189,0,4.1732,1.7449,2.6486,0.9916
190,0,4.1262,2.3134,2.6446,0.893
191,0,4.3193,2.2711,2.582,0.7911
192,0,4.2249,1.6276,2.6242,0.7759
193,0,3.5434,2.2004,2.5989,0.8047
194,0,4.1379,1.5616,2.5984,0.8263
195,0,4.4419,1.9984,2.6011,0.8348
196,0,4.2319,1.7998,2.645,0.9916
197,0,3.8477,2.2593,2.67,0.9945
198,0,3.5064,2.065,2.5923,0.3597
199,0,4.1145,1.56,2.5984,0.8263
200,0,4.3823,2.3169,2.6251,0.7911
201,0,4.1026,1.5997,2.575,0.8263
202,0,3.9248,2.3464,2.6451,0.8352
203,0,3.7434,1.8293,2.6511,0.9916
204,0,3.7495,2.2453,2.67,1.0152
205,0,4.1742,2.2215,2.6492,0.9981
206,0,3.8558,2.4476,2.6002,0.8352
207,0,4.4296,1.7447,2.6261,0.5382
208,0,3.5782,2.0018,2.6011,0.8348
209,0,3.7187,2.2565,2.6452,1.0152
210,0,4.4327,1.7766,2.6261,0.5382
211,0,3.6837,1.7634,2.645,0.9916
212,0,3.7365,2.1142,2.67,0.8919
213,0,3.6593,1.9746,2.6443,0.8348
214,0,4.1834,2.2172,2.6492,0.9981
215,0,3.8814,2.2668,2.6446,0.8929
216,0,3.9855,1.7237,2.6462,1.2928
217,0,3.7886,1.6035,2.5814,1.1889
218,0,3.591,1.7556,2.6261,0.5382
219,0,3.6714,2.289,2.6452,1.0152
220,0,3.7049,1.9498,2.6444,0.8311
221,0,4.4476,2.1207,2.5999,0.8309
222,0,3.5088,1.8844,2.5926,0.3685
223,0,3.8,2.1674,2.67,1.1691
224,0,4.0262,1.6074,2.5739,0.8282
225,0,4.4454,2.1398,2.5999,0.8309
226,0,4.4367,1.9991,2.6011,0.8348
227,0,3.7307,2.0824,2.6461,0.8919
228,0,4.3038,2.1203,2.5759,1.2841
229,0,4.1952,2.408,2.6002,0.8352
230,0,3.7595,2.411,2.5989,0.8127
231,0,3.696,2.0402,2.6461,0.8919
232,0,3.714,1.8078,2.645,0.9916
233,0,3.8448,1.6808,2.5814,1.1889
234,0,3.8445,2.2722,2.6446,0.9945
235,0,3.7036,2.0423,2.6461,0.8919
236,0,3.8937,2.2505,2.6446,0.8929
237,0,4.2213,2.3066,2.6452,1.0152
238,0,4.0765,1.5319,2.5984,0.8263
239,0,4.2009,1.6306,2.6242,0.7759
240,0,3.9547,1.5431,2.5984,0.8263
241,0,4.2833,1.7782,2.6496,0.8028
242,0,4.0208,2.3517,2.6432,0.8383
243,0,4.017,1.6459,2.5739,1.2928
244,0,3.9495,2.4865,2.6002,0.8352
245,0,4.4403,2.1285,2.5999,0.8309
246,0,3.9539,1.5646,2.5984,0.8263
247,0,4.2275,2.1765,2.6492,0.9981
248,0,3.7999,1.6175,2.5814,1.1889
249,0,3.8234,1.7149,2.6527,1.1889
250,0,3.5013,2.0101,2.593,0.3749
251,0,3.7683,2.412,2.5989,0.8127
252,0,3.8635,2.3918,2.6002,0.8352
253,0,3.9179,2.2923,2.6446,0.8929
254,0,3.7476,1.822,2.6511,0.9916
255,0,4.0238,1.6259,2.5739,1.2928
256,0,3.9963,1.6847,2.5739,1.2928
257,0,4.1895,2.4364,2.6002,0.8352
258,0,3.7361,1.9926,2.6444,0.8311
259,0,3.6944,1.9209,2.6444,0.8311
